loan_amount,annual_income,total_balance,total_credit_limit,total_monthly_debt,monthly_income,age,past_delinquencies,default
35355,81631,16958,35954,3990,6802.583333333333,29,2,1
18116,39885,36016,34423,1180,3323.75,39,3,1
30470,89659,18232,40391,1472,7471.583333333333,36,2,1
19683,84306,11748,24330,3346,7025.5,45,0,0
5504,96314,11514,14891,2632,8026.166666666667,38,1,1
38982,95087,23738,14992,2963,7923.916666666667,43,1,1
39299,59165,9695,11961,3241,4930.416666666667,41,1,1
33016,88929,9070,22497,3029,7410.75,31,0,0
28960,97028,28765,42551,3003,8085.666666666667,59,1,0
38591,79812,31761,20848,1326,6651.0,61,2,0
22312,80500,17698,23255,796,6708.333333333333,24,1,0
7105,109151,16123,14567,3683,9095.916666666666,45,1,1
27700,88643,36144,49281,1753,7386.916666666667,52,1,0
39620,74900,26616,30389,3667,6241.666666666667,50,2,0
25559,72946,38146,26567,3497,6078.833333333333,46,0,1
32509,37851,12182,13358,3227,3154.25,56,0,1
32860,46288,25833,32999,2925,3857.3333333333335,54,0,1
16003,102692,34342,20988,3727,8557.666666666666,29,2,1
26732,97580,32331,41521,2968,8131.666666666667,32,1,1
30826,37368,27128,15698,2652,3114.0,22,2,1
35354,115436,32556,11273,2228,9619.666666666666,58,0,1
18843,76403,22969,37543,2524,6366.916666666667,25,1,0
11190,39168,22876,41349,829,3264.0,25,2,1
22640,116497,9949,21241,2986,9708.083333333334,42,3,1
8330,79879,25518,19497,1655,6656.583333333333,25,3,1
24087,89871,6670,42703,2390,7489.25,24,2,1
29504,119388,25099,41954,881,9949.0,29,0,1
12114,62174,13716,18002,2685,5181.166666666667,49,1,1
18323,36581,39885,14247,3490,3048.4166666666665,42,3,1
39121,101853,8837,31698,1342,8487.75,47,2,1
15975,94046,20159,29738,2817,7837.166666666667,30,0,0
16023,79678,37877,20703,895,6639.833333333333,36,2,1
26447,56649,22560,27570,3460,4720.75,62,4,1
29933,118668,18106,22392,3011,9889.0,62,3,0
28959,112325,9720,42299,949,9360.416666666666,30,1,1
5667,44567,38661,25641,1854,3713.9166666666665,26,3,1
34703,110404,29362,23998,3824,9200.333333333334,25,0,1
14337,119906,29258,16305,2486,9992.166666666666,26,3,1
24129,91944,22782,42726,1808,7662.0,45,1,1
36921,108002,22120,28782,1797,9000.166666666666,24,1,0
38307,58803,20790,22721,2567,4900.25,60,4,1
32355,48230,28912,49763,2786,4019.1666666666665,52,2,1
9835,47862,35812,22427,1793,3988.5,55,5,1
25159,73355,37160,30566,2965,6112.916666666667,30,3,1
18216,61259,20156,12230,3881,5104.916666666667,54,2,1
36471,117445,11672,16511,3602,9787.083333333334,56,0,1
22308,60795,15444,36177,2349,5066.25,26,2,0
32532,38770,7784,14765,3675,3230.8333333333335,63,2,1
39349,41093,18929,30354,685,3424.4166666666665,36,1,1
10713,76571,2070,33929,3699,6380.916666666667,39,3,1
9804,30193,23906,38820,1733,2516.0833333333335,54,1,1
15136,47569,35618,39523,1937,3964.0833333333335,45,0,0
5009,41190,3939,15552,3852,3432.5,51,3,1
24255,92824,30841,10627,752,7735.333333333333,61,4,1
28793,72752,17301,21989,518,6062.666666666667,37,1,1
34548,62327,8194,23780,3259,5193.916666666667,50,1,1
6015,72070,6851,16589,1659,6005.833333333333,59,3,1
32712,115925,17378,44812,722,9660.416666666666,51,0,0
39961,70197,1678,38128,502,5849.75,39,1,1
13415,32261,31640,48652,1759,2688.4166666666665,55,5,1
28833,56512,34756,37790,1353,4709.333333333333,49,0,1
9158,36716,30777,10249,1988,3059.6666666666665,21,2,1
25309,116795,27183,29309,727,9732.916666666666,24,0,0
11970,58933,28445,35901,3460,4911.083333333333,48,1,1
11938,34378,2502,33576,2177,2864.8333333333335,38,4,0
26168,70583,22665,41508,998,5881.916666666667,46,4,1
25384,115371,17198,19175,3068,9614.25,60,0,0
23017,59033,22411,35464,3249,4919.416666666667,39,7,1
15344,54000,16867,26260,2385,4500.0,26,2,1
13702,105868,15266,45440,3464,8822.333333333334,21,2,1
5384,72604,36208,39546,2515,6050.333333333333,28,1,0
5404,98336,32213,11987,1662,8194.666666666666,53,3,1
34189,103869,8367,35105,1799,8655.75,63,0,0
17763,35410,14490,22948,2838,2950.8333333333335,41,1,0
23384,113375,36362,23026,1576,9447.916666666666,44,0,1
37606,86044,39285,12773,3681,7170.333333333333,45,1,1
14860,93315,10219,19878,1214,7776.25,63,0,1
20106,101344,7310,20377,1447,8445.333333333334,39,0,0
28574,36796,37307,17347,3195,3066.3333333333335,49,0,1
28524,116716,30631,43776,3575,9726.333333333334,30,3,0
8636,84245,15744,13783,3231,7020.416666666667,32,1,0
15916,73056,20867,14298,1369,6088.0,53,2,1
9809,47709,19625,14668,1570,3975.75,27,1,1
37201,88557,7378,30671,593,7379.75,37,1,1
18456,47543,20149,44820,3487,3961.9166666666665,30,1,1
39816,67418,12422,44484,1059,5618.166666666667,51,1,0
22100,46724,28926,43078,2275,3893.6666666666665,26,1,1
26949,33828,38679,30922,2760,2819.0,37,5,1
9544,47087,34171,44028,935,3923.9166666666665,57,0,1
31657,42605,14180,30316,1351,3550.4166666666665,38,1,0
12239,61337,28301,21460,3055,5111.416666666667,46,1,0
19489,35482,37931,26968,3383,2956.8333333333335,36,2,1
33538,95333,25014,40266,3198,7944.416666666667,28,1,1
37049,118296,31936,40209,704,9858.0,44,1,1
13427,80952,15336,34000,2928,6746.0,33,3,0
29285,35463,23200,24011,3644,2955.25,49,1,1
27928,100448,6470,12866,1599,8370.666666666666,52,0,0
24198,34648,31859,15898,576,2887.3333333333335,44,1,1
24758,63623,15953,28395,1315,5301.916666666667,36,1,0
20254,89156,39507,49019,1267,7429.666666666667,31,3,1
6252,65634,28433,47707,2957,5469.5,52,1,1
17173,74602,26957,14006,605,6216.833333333333,26,2,1
31698,79334,7523,44393,3098,6611.166666666667,55,2,1
20781,98648,22387,20956,3373,8220.666666666666,53,0,1
18051,52054,32169,40663,3846,4337.833333333333,38,2,1
11949,100028,23990,16078,2635,8335.666666666666,57,0,1
13017,52207,30661,39631,2246,4350.583333333333,33,0,1
11941,110650,14419,40140,3428,9220.833333333334,30,1,0
30934,111554,15457,13961,3648,9296.166666666666,57,2,1
28386,51386,3064,39277,3648,4282.166666666667,46,3,0
15209,113276,39083,41417,1965,9439.666666666666,37,2,0
22715,89518,11566,32484,3087,7459.833333333333,21,1,1
33920,82781,34085,28103,744,6898.416666666667,45,1,1
36703,82780,32528,39345,3125,6898.333333333333,54,2,1
9637,91440,7130,49454,1905,7620.0,59,0,0
9854,74199,3042,11587,1481,6183.25,30,2,0
24856,91035,5598,31031,3264,7586.25,40,3,0
26833,38210,33886,36212,2236,3184.1666666666665,27,2,1
24963,74363,34477,20350,641,6196.916666666667,36,2,0
32169,108279,29716,28816,1392,9023.25,57,0,1
12941,90348,13601,30288,1891,7529.0,49,0,0
19388,85284,37018,39432,3655,7107.0,32,2,1
10569,102124,9061,16837,3714,8510.333333333334,37,0,0
9300,98847,9609,44217,2899,8237.25,40,5,0
17015,52432,36371,30884,1044,4369.333333333333,46,0,1
11254,94089,18485,15454,3460,7840.75,39,0,1
22144,85398,21805,19424,2699,7116.5,32,2,1
29214,33321,8857,46885,3729,2776.75,41,2,1
20183,111348,12620,28412,1969,9279.0,62,0,0
11238,67383,9177,49613,3200,5615.25,54,1,0
11090,108682,31111,30142,3505,9056.833333333334,27,2,1
16637,109190,24042,47392,1262,9099.166666666666,55,2,0
27415,82893,19645,18848,3874,6907.75,35,2,1
29071,65820,25405,23136,1123,5485.0,21,1,1
23271,96262,12826,10589,1155,8021.833333333333,46,4,1
38434,33760,14890,30908,2997,2813.3333333333335,55,4,1
9188,52190,17892,16509,3268,4349.166666666667,45,0,1
15161,97411,10484,19968,1747,8117.583333333333,62,1,1
33732,53377,6495,12462,542,4448.083333333333,35,0,1
16314,76737,29481,19460,2811,6394.75,42,1,1
28954,99569,12267,43783,1526,8297.416666666666,26,2,0
26508,68211,7743,19275,2160,5684.25,35,3,0
26969,112909,38939,38677,1791,9409.083333333334,44,0,1
28061,33744,27569,23269,1095,2812.0,41,1,1
18716,54995,29552,10406,3587,4582.916666666667,27,4,1
21907,46977,29948,17384,3905,3914.75,49,2,1
23777,64542,11775,32553,3630,5378.5,52,2,0
32693,40651,4557,34366,1512,3387.5833333333335,52,4,1
31329,108931,4587,27369,2724,9077.583333333334,25,1,0
21282,46715,17535,21795,2610,3892.9166666666665,24,2,1
28624,74409,1954,14485,1457,6200.75,42,2,0
28321,54306,24544,12618,3550,4525.5,38,3,1
15488,49086,34455,40143,1060,4090.5,55,0,0
27574,44376,16138,39425,1830,3698.0,37,1,0
10240,91350,4127,32673,3817,7612.5,44,1,1
15478,101425,24147,19603,1812,8452.083333333334,22,2,1
24262,66636,12559,49696,2321,5553.0,33,0,1
9432,116120,4395,15368,3502,9676.666666666666,35,2,0
34721,81649,26389,14621,3903,6804.083333333333,25,2,1
18568,64610,1845,24719,2050,5384.166666666667,23,1,1
19178,40058,34932,39227,1349,3338.1666666666665,57,2,1
27195,104637,39672,17566,1778,8719.75,57,2,1
5302,108033,14731,22306,3151,9002.75,57,1,0
22022,100194,34122,34042,2033,8349.5,23,2,1
5055,106917,36585,25086,2314,8909.75,55,1,0
13717,94200,4832,27387,2241,7850.0,43,2,0
33699,76619,33332,37042,1105,6384.916666666667,48,0,0
13150,47154,13467,33888,3377,3929.5,50,0,1
7125,49539,14107,36514,1986,4128.25,38,0,1
21748,90058,13458,28323,3770,7504.833333333333,56,0,0
9621,92068,29666,28019,1794,7672.333333333333,53,1,1
20034,107313,3581,19890,1245,8942.75,46,3,0
10126,60373,10582,20283,1057,5031.083333333333,60,1,1
10122,63154,9418,28279,2611,5262.833333333333,37,2,1
23030,36031,29091,32908,3801,3002.5833333333335,60,0,1
22302,101975,30113,47952,1441,8497.916666666666,27,1,1
24181,52785,19827,45170,2796,4398.75,28,2,1
6531,108928,15419,47663,1769,9077.333333333334,51,0,0
28333,58669,12814,19343,1439,4889.083333333333,32,2,1
39674,32282,34804,20637,2110,2690.1666666666665,51,2,1
13152,64624,11024,44724,2704,5385.333333333333,64,0,0
15267,78438,8435,49791,3282,6536.5,39,1,0
30289,119900,2548,39134,2225,9991.666666666666,30,2,1
6062,97534,6065,13907,1484,8127.833333333333,59,3,1
34926,61705,23880,43575,2087,5142.083333333333,32,2,1
11229,68244,4407,14827,3659,5687.0,40,1,0
9632,104964,34407,40607,1836,8747.0,57,0,1
8596,67437,33940,23699,2374,5619.75,61,0,1
11168,107872,6666,47292,3637,8989.333333333334,27,2,0
12561,104878,38122,35883,1161,8739.833333333334,34,1,0
13258,102982,26092,15313,3591,8581.833333333334,31,1,1
21616,80583,11109,23598,532,6715.25,27,1,0
31734,68392,36654,38807,2316,5699.333333333333,49,1,1
11371,37461,35932,14887,3105,3121.75,30,1,1
31069,40516,27505,13854,2620,3376.3333333333335,49,0,1
19369,109285,37713,24536,2389,9107.083333333334,29,3,1
17910,47514,8746,13558,3372,3959.5,56,2,1
12943,66268,12975,19772,3914,5522.333333333333,30,2,0
17199,66788,16596,46343,1656,5565.666666666667,39,1,1
20728,105749,38953,45186,3626,8812.416666666666,51,0,0
28275,91049,34861,46966,560,7587.416666666667,37,2,1
11738,92493,4880,43769,2043,7707.75,29,2,0
20913,66027,3785,49887,771,5502.25,53,2,1
24123,72849,23449,29229,2793,6070.75,54,3,1
39529,47858,15799,19673,1699,3988.1666666666665,44,3,1
15167,114162,4990,37877,3175,9513.5,29,1,0
15554,109003,20073,41601,3888,9083.583333333334,27,0,0
22260,82395,37863,48084,2306,6866.25,36,0,1
8812,69758,15549,26244,3252,5813.166666666667,39,4,1
33024,84312,19259,37356,3209,7026.0,59,2,1
32285,98670,20790,26806,1654,8222.5,26,2,1
31900,112279,10979,33099,1625,9356.583333333334,31,2,0
6605,45434,21316,47034,809,3786.1666666666665,32,1,0
10622,94047,27183,29094,1815,7837.25,62,0,0
11767,77775,29324,20589,2245,6481.25,33,4,1
32139,105769,25624,11657,3042,8814.083333333334,32,3,1
16613,96677,39176,42764,3932,8056.416666666667,41,4,1
15589,113555,21245,49531,837,9462.916666666666,30,2,0
18918,115920,24790,13164,3126,9660.0,40,2,1
25119,75734,27756,37542,509,6311.166666666667,56,1,0
32446,118503,3833,28437,548,9875.25,48,2,0
18046,70603,6285,48505,2010,5883.583333333333,44,1,1
29818,106708,10589,29601,3170,8892.333333333334,25,4,1
9324,111926,15116,38430,1844,9327.166666666666,57,2,0
15787,98803,8645,16009,1230,8233.583333333334,32,4,1
14111,69332,30150,14552,1294,5777.666666666667,55,1,1
21389,51312,11889,19417,3518,4276.0,60,1,1
19043,114526,31286,12671,2148,9543.833333333334,22,0,1
33746,74179,38545,16519,632,6181.583333333333,61,0,1
27350,101442,16994,46730,2630,8453.5,59,0,1
5117,70379,36503,22734,2604,5864.916666666667,62,3,1
23935,47297,25662,13722,875,3941.4166666666665,29,2,1
18234,32011,27639,14906,2896,2667.5833333333335,42,2,1
5846,74014,18205,40096,770,6167.833333333333,25,2,0
15954,41738,33930,23699,2006,3478.1666666666665,32,0,1
18703,77498,8777,31438,2658,6458.166666666667,21,0,1
27700,41120,29315,43576,3416,3426.6666666666665,64,1,1
37043,38767,27973,42247,3434,3230.5833333333335,42,1,1
11469,52852,19316,37938,575,4404.333333333333,58,2,0
35105,109239,28304,27600,3729,9103.25,39,1,1
31386,30929,37303,30435,2456,2577.4166666666665,36,1,1
7048,107487,31522,28581,2166,8957.25,51,0,1
17941,47438,23340,24191,828,3953.1666666666665,23,3,1
6828,78515,20830,29190,2669,6542.916666666667,43,2,1
6917,35744,14403,37386,540,2978.6666666666665,62,3,1
25618,113820,15516,41721,1690,9485.0,38,2,1
37254,72417,20091,23704,3469,6034.75,46,1,0
25128,37069,8959,12123,3189,3089.0833333333335,33,1,1
5009,72359,32932,35174,3594,6029.916666666667,38,3,1
21644,49799,31554,24586,2826,4149.916666666667,23,3,1
27422,100188,37701,41976,3310,8349.0,43,0,1
14865,119859,4385,35416,3016,9988.25,23,2,0
7219,37597,34690,11814,3971,3133.0833333333335,45,2,1
10287,77093,11367,23001,2556,6424.416666666667,47,0,0
39387,67226,34332,26508,512,5602.166666666667,64,2,0
13512,102127,20642,29630,1423,8510.583333333334,47,3,1
6342,107362,11789,23380,3470,8946.833333333334,59,1,0
24216,56417,36268,45699,2342,4701.416666666667,45,2,1
32534,48693,21950,22317,3623,4057.75,44,3,1
19231,109674,26563,45739,1732,9139.5,28,2,1
37293,83161,37404,44785,3973,6930.083333333333,29,1,1
31614,32169,33991,41980,1714,2680.75,57,1,1
33253,114092,1350,33799,3622,9507.666666666666,50,2,0
22988,52052,19312,45183,3964,4337.666666666667,39,3,1
36037,101849,25127,39166,1152,8487.416666666666,36,1,1
17219,103851,29853,29480,2203,8654.25,44,2,0
5235,38036,38500,11609,1120,3169.6666666666665,64,2,1
6908,61778,34785,10717,2462,5148.166666666667,41,2,1
13567,57734,19610,29945,3871,4811.166666666667,56,3,1
10256,53173,24590,35592,2145,4431.083333333333,60,2,1
24019,60403,30443,38141,2743,5033.583333333333,59,2,1
13162,96321,8170,40009,916,8026.75,26,1,1
10415,101675,14303,16782,1163,8472.916666666666,25,0,0
10951,36344,7207,36536,3991,3028.6666666666665,34,0,1
26852,48800,13316,43816,2278,4066.6666666666665,62,1,0
13007,55372,36187,35933,1879,4614.333333333333,24,5,1
35523,91516,7240,21618,647,7626.333333333333,28,3,0
28325,50538,2893,18307,2545,4211.5,44,4,1
26204,93918,14753,36671,3548,7826.5,31,1,1
20524,44973,39090,20338,1888,3747.75,37,1,0
24282,101155,12232,48346,2911,8429.583333333334,41,2,0
28930,89500,18509,16548,2225,7458.333333333333,46,0,1
5077,66575,4117,31164,901,5547.916666666667,63,1,0
25611,72261,37929,37526,3153,6021.75,64,1,1
21984,57716,5042,41222,2015,4809.666666666667,47,1,0
19060,33236,38201,30176,2531,2769.6666666666665,36,1,1
22449,45848,27746,12941,728,3820.6666666666665,46,2,1
23520,32352,15016,15695,2098,2696.0,53,3,1
14510,31932,26022,49169,3084,2661.0,51,0,1
34287,106449,36426,35553,767,8870.75,26,1,1
33173,38556,28938,48965,1928,3213.0,64,2,1
16954,116836,36712,48218,2316,9736.333333333334,28,1,0
12804,35498,9787,35359,1534,2958.1666666666665,27,2,1
11565,106118,2986,34816,1843,8843.166666666666,54,1,0
10984,80098,11942,18378,625,6674.833333333333,64,3,1
26526,94386,18458,11881,2853,7865.5,34,3,1
23574,39569,13161,49567,2225,3297.4166666666665,36,2,0
14184,86882,21689,23675,1612,7240.166666666667,63,0,0
24096,100393,30163,14586,3926,8366.083333333334,29,1,1
7192,30340,36775,35006,3175,2528.3333333333335,30,3,1
39016,73949,34737,32831,1875,6162.416666666667,37,1,1
16246,112302,9772,45113,1188,9358.5,32,1,0
23381,92443,36592,26459,3585,7703.583333333333,26,1,1
31727,104027,2211,42443,1780,8668.916666666666,39,2,1
9018,30138,1229,40595,1732,2511.5,63,2,1
16302,30358,15345,15877,780,2529.8333333333335,61,3,1
6970,105250,36953,49553,942,8770.833333333334,49,1,0
32202,115376,32819,14922,2363,9614.666666666666,26,2,1
36110,60654,17885,14686,1336,5054.5,45,1,1
22586,55879,27708,42766,888,4656.583333333333,44,2,1
29519,111532,1048,24407,1116,9294.333333333334,45,2,0
36273,85778,20950,42006,646,7148.166666666667,36,2,1
26951,67772,16173,41422,3850,5647.666666666667,36,0,1
20374,88478,34737,22205,1020,7373.166666666667,26,1,1
10788,94353,29036,31054,1129,7862.75,57,0,0
10408,56762,6820,33527,2981,4730.166666666667,41,1,0
30053,43283,15292,28443,2691,3606.9166666666665,24,3,1
14446,93922,4052,26524,788,7826.833333333333,54,2,0
5922,69420,24781,38202,1909,5785.0,48,1,0
38187,85568,3302,10016,513,7130.666666666667,58,2,0
15789,115090,3283,26848,756,9590.833333333334,61,2,0
37184,50219,16620,30855,3917,4184.916666666667,48,2,0
6120,87169,31461,28211,2221,7264.083333333333,37,0,1
37154,104965,21750,35095,3916,8747.083333333334,34,1,0
22334,76840,33890,48724,1923,6403.333333333333,27,1,0
7336,74695,24183,47583,1730,6224.583333333333,42,1,0
7243,114754,10472,12843,1357,9562.833333333334,21,1,1
24029,107988,4727,39301,3490,8999.0,49,0,0
37265,88342,26523,36460,1695,7361.833333333333,51,0,0
28710,48951,31766,41918,963,4079.25,50,1,1
34486,31307,38726,38747,769,2608.9166666666665,35,1,1
11371,110388,1524,25972,1744,9199.0,38,0,0
11359,65428,10079,38310,3723,5452.333333333333,55,3,0
25103,105774,9399,32927,3170,8814.5,50,2,0
19382,68975,28370,11094,1706,5747.916666666667,54,2,1
23755,31140,17532,48892,3970,2595.0,62,1,1
8756,54842,17821,44172,571,4570.166666666667,31,0,0
25609,56421,4749,33324,3989,4701.75,47,2,1
21478,31708,12353,30674,1806,2642.3333333333335,44,0,1
15147,33630,29477,13982,2621,2802.5,55,1,1
38561,49595,25570,25790,2902,4132.916666666667,59,1,0
39884,106021,21837,22205,2250,8835.083333333334,28,2,1
10779,58308,12437,34338,996,4859.0,38,1,1
17298,74789,39104,22748,3899,6232.416666666667,33,0,1
19153,85690,5551,31097,1487,7140.833333333333,44,2,1
15789,56086,3823,13092,3127,4673.833333333333,43,0,0
17999,46859,13916,32692,1409,3904.9166666666665,32,2,1
5814,37684,16167,33862,872,3140.3333333333335,50,2,1
15541,31207,9391,34860,861,2600.5833333333335,51,0,0
29938,76099,13658,23971,2640,6341.583333333333,48,2,1
7443,97496,30685,24616,1844,8124.666666666667,42,1,1
15457,96093,24380,14933,823,8007.75,64,1,1
15380,59689,29919,14926,2931,4974.083333333333,48,0,1
12783,78651,3311,35763,1074,6554.25,33,4,1
22368,43893,14560,13969,1235,3657.75,45,2,1
20328,96418,39553,45733,3284,8034.833333333333,64,3,1
31215,90011,26993,14319,2893,7500.916666666667,27,2,1
38595,68635,31492,49876,3674,5719.583333333333,26,3,1
32306,86115,21981,30323,3786,7176.25,44,2,1
24915,108405,25143,26428,1715,9033.75,39,0,0
20343,102702,13067,44578,2195,8558.5,39,2,1
5126,108518,24916,30950,2407,9043.166666666666,56,1,1
32632,102805,4815,28293,1218,8567.083333333334,29,1,1
25530,88954,32836,16364,1280,7412.833333333333,56,3,1
8368,58064,38477,45349,1519,4838.666666666667,58,0,0
8797,109063,38275,10691,3765,9088.583333333334,60,3,1
18718,32454,5773,40062,1903,2704.5,49,2,0
39560,50878,13446,10931,1926,4239.833333333333,44,1,1
16053,81098,31733,41730,1163,6758.166666666667,25,2,1
27116,92154,11464,24226,2272,7679.5,62,2,1
6645,42991,22576,23861,3147,3582.5833333333335,46,2,1
24256,98344,4320,41301,510,8195.333333333334,34,0,0
39622,66593,11750,32766,2734,5549.416666666667,59,1,1
7708,66304,38466,46174,3273,5525.333333333333,49,0,1
16694,60386,27572,27695,1538,5032.166666666667,26,1,1
14524,85220,18948,13121,3325,7101.666666666667,27,3,1
36880,99338,39826,28257,3868,8278.166666666666,57,1,1
37409,51083,24515,38164,2958,4256.916666666667,38,3,1
18224,48354,28867,35491,3503,4029.5,43,0,0
30150,52190,1726,33165,1084,4349.166666666667,64,1,1
39393,36142,26820,13748,1575,3011.8333333333335,58,1,1
12973,58398,7697,43045,3599,4866.5,21,4,1
13577,81971,13963,36553,3124,6830.916666666667,24,4,1
13070,71862,2081,40497,3588,5988.5,64,1,1
13666,83410,21269,41308,1874,6950.833333333333,55,1,0
11783,49503,11776,49560,1951,4125.25,43,3,1
9971,78456,32816,20374,2354,6538.0,47,1,1
18490,112035,15196,14675,3800,9336.25,46,1,1
6990,38016,16958,11170,2289,3168.0,28,2,1
10299,32384,24369,22450,3536,2698.6666666666665,63,1,1
24956,92320,12689,20680,3781,7693.333333333333,36,2,1
27359,45072,18331,20068,3865,3756.0,61,0,1
33734,110018,38528,45230,1242,9168.166666666666,23,1,1
9757,70510,14436,36206,2276,5875.833333333333,52,1,0
24097,78933,1066,10287,3675,6577.75,25,0,0
15395,51826,31725,32337,703,4318.833333333333,40,1,0
21241,98026,26212,30666,1576,8168.833333333333,34,1,1
32696,55518,34332,11161,1473,4626.5,52,0,1
9944,54045,26401,45131,3487,4503.75,46,3,1
24816,80876,14393,34535,1898,6739.666666666667,26,2,0
29917,81919,4670,42528,2365,6826.583333333333,56,2,1
36195,57103,26601,48751,3625,4758.583333333333,60,2,1
26566,66188,3251,26527,1799,5515.666666666667,25,1,0
14916,35845,34572,33853,3906,2987.0833333333335,33,2,1
25806,116698,28027,24758,1554,9724.833333333334,52,2,1
14984,66674,32846,10244,1658,5556.166666666667,36,3,1
6759,49337,22015,13178,3629,4111.416666666667,21,1,1
31838,52313,10583,41831,604,4359.416666666667,33,3,0
7482,56943,24104,12176,3837,4745.25,31,1,1
29442,107949,13224,47770,752,8995.75,28,2,0
38719,30276,39784,43654,794,2523.0,45,1,1
32965,81151,31836,36627,3215,6762.583333333333,60,0,1
7079,47611,30299,34881,1681,3967.5833333333335,52,2,1
7717,41944,14036,45422,1048,3495.3333333333335,44,2,1
32952,82887,20933,21984,3178,6907.25,48,0,0
25908,111442,13392,33776,3638,9286.833333333334,34,3,1
29861,79847,8938,27755,2277,6653.916666666667,23,0,0
12311,88653,5141,17135,798,7387.75,56,0,0
33071,116072,24350,10320,2248,9672.666666666666,47,2,1
28570,86622,10546,47422,2343,7218.5,40,4,0
23449,57810,6335,38635,600,4817.5,35,1,1
38536,107842,6077,31684,3627,8986.833333333334,47,3,0
33865,40503,6611,33238,2879,3375.25,61,3,1
11645,114761,36660,31889,3383,9563.416666666666,48,2,1
31737,66976,6577,40313,2274,5581.333333333333,45,1,1
16485,41590,21002,42535,2940,3465.8333333333335,62,3,1
30522,40886,35275,20770,1373,3407.1666666666665,64,4,1
17342,42866,29647,49321,2928,3572.1666666666665,53,2,1
18087,96624,35831,30426,591,8052.0,34,2,1
39249,98899,35768,17498,946,8241.583333333334,28,3,1
15093,62792,31962,49404,608,5232.666666666667,34,0,0
21438,39764,30583,26395,816,3313.6666666666665,21,1,1
31399,116156,2294,12537,3739,9679.666666666666,36,1,0
24846,72727,16096,29226,2335,6060.583333333333,38,1,1
20708,108471,37833,25216,2443,9039.25,27,2,1
15998,38068,28328,28613,1958,3172.3333333333335,35,4,1
35678,37295,25398,13009,941,3107.9166666666665,44,2,1
15682,71160,18706,34368,2765,5930.0,33,2,0
13519,41390,23340,39327,1745,3449.1666666666665,29,0,1
36480,50131,19825,24209,3220,4177.583333333333,35,4,1
24694,105969,18482,25029,2051,8830.75,55,2,0
8300,45038,10318,12077,777,3753.1666666666665,44,1,0
11722,82327,16574,23907,3556,6860.583333333333,53,0,1
29160,107064,15650,46635,1068,8922.0,36,2,1
25059,51281,29930,14873,1509,4273.416666666667,28,4,1
18575,84189,21171,18635,3422,7015.75,49,0,1
12970,78511,35864,43065,3013,6542.583333333333,43,0,1
39911,38605,12801,43783,1338,3217.0833333333335,51,2,1
26591,31381,23372,44152,3301,2615.0833333333335,60,0,1
36821,96634,17559,39092,2107,8052.833333333333,34,1,1
14503,49810,33334,27653,3385,4150.833333333333,50,2,0
23922,54322,14288,42463,529,4526.833333333333,59,1,1
17175,71869,23398,44028,2906,5989.083333333333,47,1,1
26389,62955,11694,30947,2442,5246.25,36,0,1
5822,91388,13191,39978,3859,7615.666666666667,26,0,1
22327,40207,19051,32056,2633,3350.5833333333335,53,0,1
11150,117329,11737,39007,1757,9777.416666666666,64,0,0
9425,97628,26251,15543,3294,8135.666666666667,38,2,0
21032,58220,6147,31067,2860,4851.666666666667,36,5,1
7198,114050,20643,35097,864,9504.166666666666,32,2,1
25079,104085,39967,13809,2300,8673.75,40,1,1
18859,52031,34314,32191,2322,4335.916666666667,60,4,0
36419,100721,38999,31267,2362,8393.416666666666,49,0,1
13705,110807,19467,17206,1404,9233.916666666666,50,1,1
28236,101312,35808,31057,3840,8442.666666666666,46,0,1
27419,89766,2752,38992,1197,7480.5,42,2,0
24978,42449,2849,25995,2678,3537.4166666666665,53,0,0
20358,119833,3642,23210,3350,9986.083333333334,59,0,0
39177,86699,2600,27793,3336,7224.916666666667,49,4,1
34378,111253,21786,36270,2355,9271.083333333334,42,3,1
16382,76092,21183,15197,850,6341.0,33,2,1
19596,93671,2132,17452,679,7805.916666666667,29,3,0
38572,40350,39259,24859,2003,3362.5,44,1,1
18221,98487,32076,37236,1686,8207.25,35,1,1
6279,47622,39563,41899,2306,3968.5,56,0,1
12083,100263,27691,42083,3667,8355.25,33,0,0
22771,83117,11931,12172,1273,6926.416666666667,47,1,1
34975,88394,8633,26663,1009,7366.166666666667,64,1,0
24063,53782,38777,37540,864,4481.833333333333,57,0,0
7106,58454,35881,29053,3528,4871.166666666667,27,1,1
29557,97904,2044,21085,852,8158.666666666667,28,2,0
25607,45592,36199,40564,3347,3799.3333333333335,57,0,1
33529,52173,25363,34209,1606,4347.75,61,2,1
32856,63204,2582,13981,1748,5267.0,34,1,1
7573,65596,15374,31153,911,5466.333333333333,32,2,1
17808,64324,2308,15247,1234,5360.333333333333,56,1,0
39072,91202,22301,20553,3528,7600.166666666667,60,2,1
28752,119400,9793,30811,617,9950.0,37,0,0
22685,60750,2620,39845,981,5062.5,60,1,0
16372,106112,30883,16135,691,8842.666666666666,49,1,1
13996,46566,38534,15573,3138,3880.5,47,4,1
21458,37190,38960,23731,3137,3099.1666666666665,21,1,1
36889,118607,7093,17189,3206,9883.916666666666,54,2,0
31665,68333,23259,24541,606,5694.416666666667,24,1,1
36653,110905,21655,21087,881,9242.083333333334,44,1,0
31657,119571,34005,12776,1282,9964.25,41,1,1
27180,31589,32629,37564,2937,2632.4166666666665,53,3,1
36896,55235,24610,38835,743,4602.916666666667,27,1,1
